#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.07601  0.05288 -0.00736 -0.73365  0.000310  0.000132  0.004852     2.346
   1.08806  0.06468 -0.00977 -0.77490  0.000350  0.000148  0.004492     2.358
   1.10095  0.07737 -0.01201 -0.80769  0.000390  0.000164  0.004145     2.371
   1.11437  0.09064 -0.01404 -0.83415  0.000428  0.000180  0.003865     2.379
   1.12813  0.10428 -0.01587 -0.85540  0.000467  0.000195  0.003596     2.390
   1.14214  0.11819 -0.01750 -0.87275  0.000504  0.000210  0.003369     2.399
   1.15631  0.13228 -0.01896 -0.88722  0.000540  0.000224  0.003175     2.407
   1.17061  0.14653 -0.02025 -0.89929  0.000575  0.000238  0.002995     2.415
   1.18502  0.16089 -0.02139 -0.90953  0.000609  0.000252  0.002839     2.422
   1.19951  0.17535 -0.02240 -0.91821  0.000643  0.000265  0.002695     2.429
   1.21408  0.18988 -0.02329 -0.92565  0.000676  0.000278  0.002566     2.436
   1.22870  0.20448 -0.02406 -0.93208  0.000708  0.000290  0.002450     2.442
   1.24337  0.21914 -0.02472 -0.93754  0.000741  0.000302  0.002338     2.450
   1.25808  0.23385 -0.02529 -0.94243  0.000772  0.000314  0.002247     2.454
   1.27284  0.24859 -0.02577 -0.94646  0.000804  0.000326  0.002146     2.463
   1.28763  0.26338 -0.02616 -0.95014  0.000834  0.000338  0.002068     2.467
   1.30245  0.27819 -0.02648 -0.95328  0.000865  0.000350  0.001988     2.473
   1.31730  0.29304 -0.02672 -0.95602  0.000895  0.000361  0.001916     2.479
   1.33217  0.30791 -0.02690 -0.95835  0.000925  0.000372  0.001845     2.485
   1.34707  0.32281 -0.02701 -0.96052  0.000953  0.000383  0.001788     2.489
   1.36199  0.33773 -0.02706 -0.96217  0.000984  0.000394  0.001719     2.497
   1.37692  0.35266 -0.02706 -0.96374  0.001013  0.000405  0.001666     2.501
   1.39188  0.36762 -0.02701 -0.96509  0.001041  0.000415  0.001615     2.506
   1.40685  0.38259 -0.02690 -0.96622  0.001070  0.000426  0.001565     2.511
   1.42183  0.39757 -0.02675 -0.96711  0.001099  0.000437  0.001514     2.517
   1.43683  0.41257 -0.02656 -0.96794  0.001127  0.000447  0.001472     2.521
   1.45185  0.42759 -0.02632 -0.96866  0.001154  0.000457  0.001433     2.525
   1.46687  0.44261 -0.02605 -0.96918  0.001182  0.000467  0.001391     2.530
   1.48191  0.45764 -0.02574 -0.96964  0.001209  0.000477  0.001354     2.534
   1.49696  0.47269 -0.02540 -0.96997  0.001237  0.000487  0.001318     2.539
   1.51202  0.48774 -0.02503 -0.97024  0.001263  0.000497  0.001285     2.543
   1.52708  0.50280 -0.02463 -0.97045  0.001290  0.000506  0.001254     2.547
   1.54216  0.51787 -0.02420 -0.97050  0.001318  0.000516  0.001220     2.552
   1.55724  0.53295 -0.02374 -0.97064  0.001342  0.000526  0.001195     2.554
   1.57233  0.54803 -0.02326 -0.97059  0.001370  0.000535  0.001165     2.559
   1.58743  0.56312 -0.02275 -0.97059  0.001395  0.000544  0.001140     2.562
   1.60253  0.57821 -0.02222 -0.97048  0.001421  0.000554  0.001114     2.566
   1.61764  0.59331 -0.02167 -0.97029  0.001447  0.000563  0.001088     2.571
   1.63276  0.60842 -0.02111 -0.97017  0.001472  0.000572  0.001067     2.573
   1.64788  0.62352 -0.02052 -0.96994  0.001497  0.000581  0.001044     2.577
   1.66300  0.63864 -0.01991 -0.96973  0.001522  0.000590  0.001024     2.579
   1.67813  0.65375 -0.01929 -0.96936  0.001549  0.000599  0.000999     2.585
   1.69326  0.66887 -0.01865 -0.96907  0.001573  0.000608  0.000980     2.588
   1.70839  0.68399 -0.01799 -0.96864  0.001600  0.000617  0.000957     2.593
   1.72353  0.69911 -0.01732 -0.96827  0.001625  0.000626  0.000939     2.596
   1.73867  0.71423 -0.01663 -0.96777  0.001652  0.000635  0.000917     2.602
   1.75381  0.72936 -0.01593 -0.96726  0.001678  0.000644  0.000897     2.607
   1.76895  0.74448 -0.01522 -0.96671  0.001705  0.000653  0.000877     2.612
   1.78409  0.75960 -0.01449 -0.96611  0.001732  0.000661  0.000858     2.618
   1.79923  0.77473 -0.01374 -0.96533  0.001763  0.000671  0.000832     2.628
   1.81438  0.78985 -0.01299 -0.96462  0.001791  0.000680  0.000813     2.634
   1.82952  0.80498 -0.01222 -0.96368  0.001824  0.000689  0.000786     2.646
   1.84466  0.82010 -0.01143 -0.96273  0.001856  0.000699  0.000762     2.656
   1.85981  0.83522 -0.01064 -0.96155  0.001894  0.000709  0.000732     2.672
   1.87495  0.85034 -0.00983 -0.96024  0.001935  0.000719  0.000700     2.690
   1.89009  0.86546 -0.00900 -0.95884  0.001978  0.000730  0.000668     2.709
   1.90522  0.88057 -0.00816 -0.95703  0.002033  0.000742  0.000624     2.741
   1.92036  0.89568 -0.00731 -0.95509  0.002092  0.000754  0.000579     2.774
   1.93548  0.91078 -0.00644 -0.95278  0.002165  0.000768  0.000525     2.820
   1.95059  0.92586 -0.00555 -0.95011  0.002255  0.000782  0.000461     2.883
   1.96565  0.94089 -0.00465 -0.94705  0.002369  0.000798  0.000385     2.968
   1.98053  0.95575 -0.00375 -0.94381  0.002508  0.000815  0.000304     3.077
   1.99493  0.97012 -0.00285 -0.94041  0.002691  0.000832  0.000210     3.232
   2.00809  0.98325 -0.00202 -0.93740  0.002903  0.000848  0.000122     3.423
   2.01903  0.99417 -0.00132 -0.93516  0.003116  0.000860  0.000053     3.624
   2.02487  1.00000 -0.00095 -0.93422  0.003186  0.000865  0.000036     3.683
   2.02487  1.00010 -0.00000  0.93422  0.014706  0.006406  0.000000     2.296
   2.03071  1.00593 -0.00022  0.92285  0.014183  0.006744  0.000000     2.103
   2.03759  1.01281 -0.00043  0.92607  0.013467  0.006649  0.000000     2.025
   2.04570  1.02092 -0.00065  0.92971  0.012755  0.006545  0.000000     1.949
   2.05527  1.03048 -0.00088  0.93378  0.012053  0.006435  0.000000     1.873
   2.06654  1.04175 -0.00111  0.93822  0.011368  0.006319  0.000000     1.799
   2.07982  1.05504 -0.00134  0.94294  0.010709  0.006200  0.000000     1.727
   2.09549  1.07070 -0.00156  0.94782  0.010084  0.006083  0.000000     1.658
   2.11395  1.08916 -0.00176  0.95274  0.009497  0.005970  0.000000     1.591
   2.13571  1.11092 -0.00192  0.95756  0.008952  0.005864  0.000000     1.527
   2.16137  1.13658 -0.00203  0.96221  0.008450  0.005766  0.000000     1.466
   2.19161  1.16682 -0.00207  0.96661  0.007991  0.005676  0.000000     1.408
   2.22726  1.20247 -0.00198  0.97073  0.007575  0.005595  0.000000     1.354
   2.26928  1.24449 -0.00173  0.97454  0.007200  0.005522  0.000000     1.304
   2.31881  1.29402 -0.00125  0.97803  0.006867  0.005458  0.000000     1.258
   2.37720  1.35240 -0.00048  0.98120  0.006573  0.005401  0.000000     1.217
   2.44603  1.42122  0.00068  0.98405  0.006317  0.005351  0.000000     1.180
   2.52716  1.50233  0.00234  0.98659  0.006097  0.005308  0.000000     1.149
   2.62280  1.59794  0.00466  0.98882  0.005911  0.005270  0.000000     1.122
   2.73553  1.71064  0.00780  0.99077  0.005757  0.005238  0.000000     1.099
   2.86842  1.84346  0.01197  0.99243  0.005631  0.005211  0.000000     1.081
   3.02507  2.00001  0.01742  0.99411  0.005525  0.005184  0.000000     1.066
