#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  0.93422  0.009643  0.005541  0.001429     1.740
   0.00584  0.99422  0.00178  0.94021  0.009299  0.005405  0.001506     1.720
   0.01675  0.98342  0.00333  0.95164  0.008695  0.005159  0.001655     1.685
   0.02985  0.97045  0.00516  0.96411  0.008108  0.004907  0.001816     1.653
   0.04416  0.95627  0.00714  0.97659  0.007582  0.004668  0.001978     1.624
   0.05897  0.94161  0.00914  0.98825  0.007136  0.004457  0.002127     1.601
   0.07393  0.92677  0.01114  0.99915  0.006753  0.004268  0.002267     1.582
   0.08895  0.91188  0.01311  1.00909  0.006430  0.004103  0.002393     1.567
   0.10399  0.89697  0.01505  1.01840  0.006145  0.003953  0.002510     1.554
   0.11904  0.88204  0.01696  1.02711  0.005894  0.003817  0.002619     1.544
   0.13409  0.86711  0.01883  1.03521  0.005671  0.003694  0.002720     1.535
   0.14914  0.85218  0.02068  1.04289  0.005469  0.003580  0.002814     1.528
   0.16419  0.83723  0.02249  1.05032  0.005282  0.003472  0.002906     1.521
   0.17925  0.82228  0.02427  1.05729  0.005112  0.003372  0.002991     1.516
   0.19430  0.80733  0.02603  1.06406  0.004953  0.003278  0.003073     1.511
   0.20935  0.79238  0.02775  1.07051  0.004806  0.003188  0.003151     1.507
   0.22441  0.77742  0.02944  1.07689  0.004664  0.003102  0.003228     1.504
   0.23946  0.76245  0.03110  1.08299  0.004532  0.003020  0.003301     1.501
   0.25452  0.74749  0.03272  1.08909  0.004404  0.002941  0.003375     1.498
   0.26957  0.73252  0.03432  1.09488  0.004285  0.002865  0.003444     1.496
   0.28462  0.71755  0.03589  1.10076  0.004167  0.002791  0.003515     1.493
   0.29967  0.70258  0.03742  1.10645  0.004056  0.002719  0.003583     1.492
   0.31472  0.68760  0.03892  1.11210  0.003948  0.002649  0.003651     1.490
   0.32977  0.67263  0.04039  1.11777  0.003842  0.002581  0.003720     1.489
   0.34481  0.65766  0.04182  1.12336  0.003739  0.002514  0.003788     1.488
   0.35985  0.64268  0.04322  1.12888  0.003640  0.002449  0.003855     1.487
   0.37489  0.62771  0.04459  1.13443  0.003543  0.002385  0.003923     1.486
   0.38992  0.61274  0.04592  1.14003  0.003447  0.002321  0.003993     1.485
   0.40494  0.59776  0.04722  1.14556  0.003354  0.002259  0.004062     1.485
   0.41997  0.58280  0.04847  1.15119  0.003262  0.002198  0.004133     1.484
   0.43498  0.56783  0.04969  1.15674  0.003173  0.002138  0.004202     1.484
   0.44999  0.55286  0.05087  1.16245  0.003083  0.002078  0.004276     1.484
   0.46500  0.53790  0.05201  1.16810  0.002996  0.002020  0.004348     1.483
   0.47999  0.52295  0.05311  1.17391  0.002909  0.001961  0.004425     1.483
   0.49498  0.50799  0.05416  1.17969  0.002825  0.001904  0.004501     1.483
   0.50996  0.49305  0.05517  1.18559  0.002740  0.001847  0.004580     1.483
   0.52494  0.47811  0.05613  1.19154  0.002657  0.001791  0.004661     1.484
   0.53990  0.46317  0.05704  1.19756  0.002575  0.001736  0.004744     1.484
   0.55485  0.44824  0.05790  1.20374  0.002493  0.001680  0.004831     1.484
   0.56979  0.43332  0.05871  1.20993  0.002413  0.001626  0.004919     1.484
   0.58472  0.41841  0.05947  1.21629  0.002333  0.001571  0.005012     1.485
   0.59964  0.40351  0.06017  1.22277  0.002253  0.001517  0.005109     1.485
   0.61454  0.38862  0.06080  1.22939  0.002174  0.001464  0.005209     1.486
   0.62943  0.37374  0.06138  1.23612  0.002096  0.001410  0.005314     1.486
   0.64431  0.35888  0.06189  1.24300  0.002018  0.001358  0.005424     1.487
   0.65916  0.34403  0.06233  1.25009  0.001941  0.001305  0.005540     1.487
   0.67400  0.32920  0.06271  1.25735  0.001863  0.001253  0.005664     1.487
   0.68882  0.31438  0.06300  1.26481  0.001786  0.001201  0.005795     1.487
   0.70361  0.29959  0.06322  1.27248  0.001709  0.001149  0.005936     1.488
   0.71839  0.28482  0.06335  1.28041  0.001632  0.001098  0.006089     1.487
   0.73313  0.27007  0.06340  1.28861  0.001555  0.001046  0.006255     1.487
   0.74785  0.25535  0.06335  1.29718  0.001478  0.000995  0.006439     1.486
   0.76253  0.24067  0.06321  1.30601  0.001400  0.000943  0.006641     1.485
   0.77718  0.22603  0.06296  1.31528  0.001322  0.000892  0.006870     1.482
   0.79179  0.21142  0.06260  1.32501  0.001243  0.000840  0.007129     1.479
   0.80635  0.19687  0.06212  1.33516  0.001164  0.000789  0.007425     1.475
   0.82085  0.18238  0.06151  1.34585  0.001083  0.000737  0.007767     1.470
   0.83530  0.16795  0.06077  1.35746  0.001001  0.000684  0.008177     1.462
   0.84966  0.15361  0.05989  1.36949  0.000919  0.000632  0.008647     1.454
   0.86394  0.13938  0.05884  1.38242  0.000836  0.000579  0.009196     1.444
   0.87810  0.12527  0.05763  1.39620  0.000754  0.000525  0.009806     1.436
   0.89211  0.11133  0.05623  1.41060  0.000677  0.000472  0.010369     1.435
   0.90593  0.09760  0.05462  1.42531  0.000616  0.000420  0.010451     1.466
   0.91947  0.08418  0.05280  1.43997  0.000604  0.000374  0.008703     1.615
   0.93259  0.07122  0.05076  1.46292  0.000738  0.000332  0.004554     2.223
   0.94505  0.05897  0.04851  1.57788  0.001226  0.000208 -0.000532     5.891
   0.95652  0.04776  0.04610  1.60805  0.001218  0.000179 -0.000835     6.792
   0.96659  0.03799  0.04364  1.62774  0.001018  0.000163 -0.000958     6.230
   0.97505  0.02987  0.04124  1.65125  0.000781  0.000148 -0.001116     5.290
   0.98196  0.02334  0.03899  1.68161  0.000583  0.000132 -0.000975     4.427
   0.98756  0.01815  0.03691  1.71878  0.000439  0.000116  0.000117     3.793
   0.99215  0.01399  0.03497  1.76098  0.000338  0.000100  0.002241     3.375
   0.99597  0.01063  0.03315  1.80501  0.000266  0.000086  0.005317     3.094
   0.99922  0.00789  0.03141  1.84713  0.000213  0.000073  0.009286     2.899
   1.00203  0.00564  0.02971  1.88394  0.000170  0.000062  0.014610     2.742
   1.00450  0.00382  0.02804  1.90937  0.000137  0.000052  0.021573     2.612
   1.00672  0.00237  0.02636  1.91359  0.000110  0.000044  0.030283     2.503
   1.00873  0.00127  0.02468  1.88052  0.000090  0.000037  0.040714     2.400
   1.01058  0.00051  0.02300  1.78953  0.000076  0.000033  0.049383     2.325
   1.01229  0.00010  0.02133  1.63458  0.000067  0.000030  0.053368     2.273
   1.01392  0.00000  0.01971  1.42494  0.000063  0.000028  0.051403     2.234
   1.01558  0.00021  0.01806  1.17279  0.000063  0.000028  0.042765     2.228
   1.01737  0.00076  0.01636  0.89303  0.000064  0.000029  0.032803     2.192
   1.01929  0.00166  0.01465  0.61987  0.000071  0.000032  0.019939     2.223
   1.02140  0.00291  0.01296  0.37630  0.000078  0.000036  0.011411     2.191
   1.02374  0.00452  0.01127  0.17070  0.000096  0.000043  0.004084     2.230
   1.02636  0.00653  0.00958 -0.00288  0.000096  0.000043  0.000069     2.230
   1.02937  0.00900  0.00785 -0.14802  0.000121  0.000054  0.002807     2.230
   1.03288  0.01201  0.00606 -0.27070  0.000135  0.000060  0.004463     2.256
   1.03704  0.01572  0.00417 -0.37657  0.000156  0.000069  0.005328     2.271
   1.04208  0.02034  0.00216 -0.46915  0.000178  0.000078  0.005720     2.284
   1.04827  0.02614 -0.00003 -0.55035  0.000206  0.000089  0.005728     2.301
   1.05592  0.03341 -0.00238 -0.62142  0.000237  0.000102  0.005548     2.315
   1.06519  0.04234 -0.00485 -0.68274  0.000272  0.000117  0.005234     2.330
