# Upper_Surface_x 	Upper_Surface_y 	Lower_Surface_x 	Lower_Surface_y 	Camber_Line_x 	Camber_Line_y
        88.344063 	       1.625134 	      88.260381 	-0.744047       	    88.302222 	     0.440544
        89.341585 	       1.494857 	      89.263724 	-0.684843       	    89.302655 	     0.405007
        90.299537 	       1.36826  	      90.227488 	-0.627261       	    90.263513 	     0.3705
        91.216967 	       1.245638 	      91.150692 	-0.571434       	    91.183829 	     0.337102
        92.092961 	       1.127279 	      92.032392 	-0.517493       	    92.062677 	     0.304893
        92.926651 	       1.013466 	      92.87169  	-0.465568       	    92.899171 	     0.273949
        93.717209 	       0.904476 	      93.667729 	-0.415787       	    93.692469 	     0.244344
        94.46385  	       0.800578 	      94.419695 	-0.368277       	    94.441772 	     0.21615
        95.165836 	       0.702033 	      95.126818 	-0.323162       	    95.146327 	     0.189435
        95.82247  	       0.60909  	      95.788376 	-0.280562       	    95.805423 	     0.164264
        96.433102 	       0.52199  	      96.403691 	-0.240593       	    96.418397 	     0.140699
        96.997129 	       0.440959 	      96.972133 	-0.203367       	    96.984631 	     0.118796
        97.513993 	       0.366213 	      97.493119 	-0.16899        	    97.503556 	     0.098611
        97.983183 	       0.29795  	      97.966115 	-0.137563       	    97.974649 	     0.080194
        98.404235 	       0.236356 	      98.390635 	-0.109178       	    98.397435 	     0.063589
        98.776734 	       0.181598 	      98.766244 	-0.083921       	    98.771489 	     0.048839
        99.100313 	       0.133828 	      99.092556 	-0.061869       	    99.096435 	     0.035979
        99.374653 	       0.093177 	      99.369236 	-0.043091       	    99.371944 	     0.025043
        99.599482 	       0.05976  	      99.596    	-0.027644       	    99.597741 	     0.016058
        99.774579 	       0.033671 	      99.772613 	-0.015579       	    99.773596 	     0.009046
        99.899772 	       0.014983 	      99.898896 	-0.006933       	    99.899334 	     0.004025
        99.974937 	       0.003748 	      99.974717 	-0.001735       	    99.974827 	     0.001007
       100        	       0        	     100        	0               	   100        	     0
